Accession Planting,Inventory Date,Status,Condition,Measurement Date,Height,Height Unit,DBH,DBH Unit,Measurement Note
2020-0589-10-0,9/17/2020 0:00,Dormant,Good,,,,,,
2020-0589-10-0,9/18/2020 17:27,Dormant,Good,,,,,,
2020-0588-10-0,9/17/2020 0:00,Dormant,Good,,,,,,
2020-0588-10-0,9/18/2020 17:27,Dormant,Good,,,,,,
2020-0587-10-0,9/17/2020 0:00,Dormant,Good,,,,,,
2020-0587-10-0,9/18/2020 17:27,Dormant,Good,,,,,,
2020-0150-01-8,,,,9/3/2020 0:00,2.5,inches,,inches,
2020-0150-01-8,9/3/2020 0:00,Alive,Good,,,,,,
2020-0150-01-8,9/3/2020 22:35,Alive,Good,,,,,,
2020-0150-01-7,,,,3/27/2020 0:00,5,inches,,inches,
2020-0150-01-7,3/26/2020 0:00,Alive,Good,,,,,,
2020-0150-01-7,3/27/2020 8:05,Alive,Good,,,,,,
2020-0150-01-6,,,,2/26/2020 13:45,0.9,feet,,feet,"Measured height during Saguaro Inventory 2020, VN, 2/26/20."
2020-0150-01-6,,,,2/19/2020 0:00,10,inches,,inches,Saguaro inventory 2020
2020-0150-01-6,2/11/2020 0:00,Alive,Good,,,,,,
2020-0150-01-6,2/14/2020 12:17,Alive,Good,,,,,,
2020-0150-01-5,,,,2/26/2020 13:45,0.2,feet,,feet,"Measured height during Saguaro Inventory 2020, VN, 2/26/20."
2020-0150-01-5,2/11/2020 0:00,Alive,Good,,,,,,
2020-0150-01-5,2/13/2020 0:00,Alive,Excellent,,,,,,
2020-0150-01-5,2/19/2020 12:31,Alive,Excellent,,,,,,
2020-0150-01-4,,,,2/26/2020 13:45,0.2,feet,,feet,"Measured height during Saguaro Inventory 2020, VN, 2/26/20."
2020-0150-01-4,,,,2/13/2020 0:00,2,inches,,inches,
2020-0150-01-4,2/11/2020 0:00,Alive,Good,,,,,,
2020-0150-01-4,2/13/2020 0:00,Alive,Excellent,,,,,,
2020-0150-01-4,2/19/2020 13:01,Alive,Excellent,,,,,,
2020-0150-01-3,,,,2/26/2020 13:45,0.1,feet,,feet,"Measured height during Saguaro Inventory 2020, VN, 2/26/20."
2020-0150-01-3,,,,2/13/2020 0:00,2.5,inches,,inches,
2020-0150-01-3,2/11/2020 0:00,Alive,Good,,,,,,
2020-0150-01-3,2/13/2020 0:00,Alive,Excellent,,,,,,
2020-0150-01-3,2/19/2020 13:01,Alive,Excellent,,,,,,
2020-0150-01-2,,,,2/26/2020 13:45,0.5,feet,,feet,"Measured height during Saguaro Inventory 2020, VN, 2/26/20."
2020-0150-01-2,,,,2/13/2020 0:00,6,inches,,inches,
2020-0150-01-2,2/11/2020 0:00,Alive,Good,,,,,,
2020-0150-01-2,2/13/2020 0:00,Alive,Excellent,,,,,,
2020-0150-01-2,2/19/2020 12:46,Alive,Excellent,,,,,,
2020-0150-01-1,,,,2/26/2020 13:45,2.6,feet,,feet,"Measured height during Saguaro Inventory 2020, VN, 2/26/20."
2020-0150-01-1,,,,2/12/2020 0:00,31,inches,,inches,
2020-0150-01-1,2/11/2020 0:00,Alive,Good,,,,,,
2020-0150-01-1,2/12/2020 0:00,Alive,Fair,,,,,,
2020-0150-01-1,2/19/2020 12:46,Alive,Fair,,,,,,
2019-0347-01-3,6/4/2019 0:00,Alive,Good,,,,,,
2019-0347-01-2,6/4/2019 0:00,Alive,Good,,,,,,
2019-0347-01-1,6/4/2019 0:00,Alive,Good,,,,,,
2019-0310-01-1,,,,2/26/2020 13:45,3.7,feet,,feet,"Measured height during Saguaro Inventory 2020, VN, 2/26/20."
2019-0310-01-1,5/15/2019 0:00,Alive,Good,,,,,,
2019-0310-01-1,6/6/2019 22:30,Alive,Good,,,,,,
2019-0298-01-3,,,,2/26/2020 13:44,9,feet,,feet,"Measured height during Saguaro Inventory 2020, VN, 2/26/20."
2019-0298-01-3,5/15/2019 0:00,Alive,Good,,,,,,
2019-0298-01-3,5/28/2019 23:16,Alive,Good,,,,,,
2019-0298-01-2,,,,2/26/2020 13:44,14.8,feet,,feet,"Measured height during Saguaro Inventory 2020, VN, 2/26/20."
2019-0298-01-2,5/15/2019 0:00,Alive,Good,,,,,,
2019-0298-01-2,5/28/2019 23:16,Alive,Good,,,,,,
2019-0298-01-1,,,,2/26/2020 13:44,8.4,feet,,feet,"Measured height during Saguaro Inventory 2020, VN, 2/26/20."
2019-0298-01-1,5/15/2019 0:00,Alive,Good,,,,,,
2019-0298-01-1,5/28/2019 23:16,Alive,Good,,,,,,
2019-0297-01-1,,,,2/26/2020 13:45,21.4,feet,,feet,"Measured height during Saguaro Inventory 2020, VN, 2/26/20."
2019-0297-01-1,5/15/2019 0:00,Alive,Good,,,,,,
2019-0297-01-1,6/1/2019 0:01,Alive,Good,,,,,,
2019-0269-01-1,,,,2/26/2020 13:44,6.3,feet,,feet,"Measured height during Saguaro Inventory 2020, VN, 2/26/20."
2019-0269-01-1,4/23/2019 0:00,Alive,Good,,,,,,
2019-0269-01-1,5/28/2019 23:16,Alive,Good,,,,,,
2019-0188-01-9,2/27/2019 0:00,Alive,,,,,,,
2019-0188-01-8,2/27/2019 0:00,Alive,,,,,,,
2019-0188-01-7,2/27/2019 0:00,Alive,,,,,,,
2019-0188-01-6,2/27/2019 0:00,Alive,,,,,,,
2019-0188-01-5,2/27/2019 0:00,Alive,,,,,,,
2019-0188-01-4,2/27/2019 0:00,Alive,,,,,,,
2019-0188-01-3,2/27/2019 0:00,Alive,,,,,,,
2019-0188-01-2,2/27/2019 0:00,Alive,,,,,,,
2019-0188-01-15,2/27/2019 0:00,Alive,,,,,,,
2019-0188-01-14,2/27/2019 0:00,Alive,,,,,,,
2019-0188-01-13,2/27/2019 0:00,Alive,,,,,,,
2019-0188-01-12,2/27/2019 0:00,Alive,,,,,,,
2019-0188-01-12,9/17/2019 0:00,Dead,,,,,,,
2019-0188-01-11,2/27/2019 0:00,Alive,,,,,,,
2019-0188-01-10,2/27/2019 0:00,Alive,,,,,,,
2019-0188-01-1,2/27/2019 0:00,Alive,,,,,,,
2019-0142-01-2,2/27/2019 0:00,Alive,Good,,,,,,
2019-0142-01-2,2/27/2019 0:00,Alive,Good,,,,,,
2019-0142-01-2,2/27/2019 23:01,Alive,Good,,,,,,
2019-0142-01-2,2/18/2020 0:00,Dead,,,,,,,
2019-0142-01-1,,,,2/26/2020 13:47,0.5,feet,,feet,"Measured height during Saguaro Inventory 2020, VN, 2/26/20."
2019-0142-01-1,2/15/2019 0:00,Alive,Good,,,,,,
2019-0142-01-1,2/27/2019 0:00,Alive,Good,,,,,,
2019-0142-01-1,2/27/2019 23:01,Alive,Good,,,,,,
2019-0042-01-9,,,,2/26/2020 13:46,1.5,feet,,feet,"Measured height during Saguaro Inventory 2020, VN, 2/26/20."
2019-0042-01-9,,,,3/29/2019 19:13,1.4583333,feet,,feet,"Measured during Saguaro Inventory 2019, VN, 2/15/117"
2019-0042-01-9,1/18/2019 0:00,Alive,Excellent,,,,,,
2019-0042-01-9,2/7/2019 22:31,Alive,Excellent,,,,,,
2019-0042-01-8,,,,2/26/2020 13:46,1.5,feet,,feet,"Measured height during Saguaro Inventory 2020, VN, 2/26/20."
2019-0042-01-8,,,,3/29/2019 19:14,0.5416667,feet,,feet,"Measured during Saguaro Inventory 2019, VN, 2/15/185"
2019-0042-01-8,1/18/2019 0:00,Alive,Excellent,,,,,,
2019-0042-01-8,2/7/2019 22:31,Alive,Excellent,,,,,,
2019-0042-01-7,,,,2/26/2020 13:46,0.9,feet,,feet,"Measured height during Saguaro Inventory 2020, VN, 2/26/20."
2019-0042-01-7,,,,3/29/2019 19:14,0.75,feet,,feet,"Measured during Saguaro Inventory 2019, VN, 2/15/170"
2019-0042-01-7,1/18/2019 0:00,Alive,Excellent,,,,,,
2019-0042-01-7,2/7/2019 22:30,Alive,Excellent,,,,,,
2019-0042-01-6,,,,2/26/2020 13:46,0.5,feet,,feet,"Measured height during Saguaro Inventory 2020, VN, 2/26/20."
2019-0042-01-6,,,,3/29/2019 19:15,0.4166667,feet,,feet,"Measured during Saguaro Inventory 2019, VN, 2/15/196"
2019-0042-01-6,1/18/2019 0:00,Alive,Excellent,,,,,,
2019-0042-01-6,2/7/2019 22:30,Alive,Excellent,,,,,,
2019-0042-01-5,,,,2/26/2020 13:46,1.3,feet,,feet,"Measured height during Saguaro Inventory 2020, VN, 2/26/20."
2019-0042-01-5,,,,3/29/2019 19:14,1.125,feet,,feet,"Measured during Saguaro Inventory 2019, VN, 2/15/139"
2019-0042-01-5,1/18/2019 0:00,Alive,Excellent,,,,,,
2019-0042-01-5,2/7/2019 22:30,Alive,Excellent,,,,,,
2019-0042-01-4,,,,2/26/2020 13:46,1.5,feet,,feet,"Measured height during Saguaro Inventory 2020, VN, 2/26/20."
2019-0042-01-4,,,,3/29/2019 19:13,1.5,feet,,feet,"Measured during Saguaro Inventory 2019, VN, 2/15/114"
2019-0042-01-4,1/18/2019 0:00,Alive,Excellent,,,,,,
2019-0042-01-4,2/7/2019 22:30,Alive,Excellent,,,,,,
2019-0042-01-3,,,,2/26/2020 13:46,1.4,feet,,feet,"Measured height during Saguaro Inventory 2020, VN, 2/26/20."
2019-0042-01-3,,,,3/29/2019 19:13,1.25,feet,,feet,"Measured during Saguaro Inventory 2019, VN, 2/15/128"
2019-0042-01-3,1/18/2019 0:00,Alive,Excellent,,,,,,
2019-0042-01-3,2/7/2019 22:30,Alive,Excellent,,,,,,
2019-0042-01-25,1/18/2019 0:00,Alive,Excellent,,,,,,
2019-0042-01-24,1/18/2019 0:00,Alive,Excellent,,,,,,
2019-0042-01-23,1/18/2019 0:00,Alive,Excellent,,,,,,
2019-0042-01-22,1/18/2019 0:00,Alive,Excellent,,,,,,
2019-0042-01-21,1/18/2019 0:00,Alive,Excellent,,,,,,
2019-0042-01-20,1/18/2019 0:00,Alive,Excellent,,,,,,
2019-0042-01-2,,,,2/26/2020 13:46,0.395,feet,,feet,"Measured height during Saguaro Inventory 2020, VN, 2/26/20."
2019-0042-01-2,,,,3/29/2019 19:15,0.375,feet,,feet,"Measured during Saguaro Inventory 2019, VN, 2/15/200"
2019-0042-01-2,1/18/2019 0:00,Alive,Excellent,,,,,,
2019-0042-01-2,2/7/2019 22:30,Alive,Excellent,,,,,,
2019-0042-01-19,1/18/2019 0:00,Alive,Excellent,,,,,,
2019-0042-01-18,1/18/2019 0:00,Alive,Excellent,,,,,,
2019-0042-01-17,,,,2/26/2020 13:44,0.6,feet,,feet,"Measured height during Saguaro Inventory 2020, VN, 2/26/20."
2019-0042-01-17,1/18/2019 0:00,Alive,Excellent,,,,,,
2019-0042-01-17,3/29/2019 16:51,Alive,Excellent,,,,,,
2019-0042-01-17,3/29/2019 19:36,Alive,Excellent,,,,,,
2019-0042-01-16,,,,2/26/2020 13:46,0.3,feet,,feet,"Measured height during Saguaro Inventory 2020, VN, 2/26/20."
2019-0042-01-16,,,,3/29/2019 19:15,0.3333333,feet,,feet,"Measured during Saguaro Inventory 2019, VN, 2/15/201"
2019-0042-01-16,1/18/2019 0:00,Alive,Excellent,,,,,,
2019-0042-01-16,2/14/2019 22:30,Alive,Excellent,,,,,,
2019-0042-01-15,,,,2/26/2020 13:46,0.6,feet,,feet,"Measured height during Saguaro Inventory 2020, VN, 2/26/20."
2019-0042-01-15,,,,3/29/2019 19:15,0.5416667,feet,,feet,"Measured during Saguaro Inventory 2019, VN, 2/15/186"
2019-0042-01-15,1/18/2019 0:00,Alive,Excellent,,,,,,
2019-0042-01-15,2/14/2019 0:00,Alive,Excellent,,,,,,
2019-0042-01-14,,,,2/26/2020 13:46,0.3,feet,,feet,"Measured height during Saguaro Inventory 2020, VN, 2/26/20."
2019-0042-01-14,,,,3/29/2019 19:15,0.2916667,feet,,feet,"Measured during Saguaro Inventory 2019, VN, 2/15/202"
2019-0042-01-14,1/18/2019 0:00,Alive,Excellent,,,,,,
2019-0042-01-14,2/11/2019 23:30,Alive,Excellent,,,,,,
2019-0042-01-14,2/12/2019 23:45,Alive,Excellent,,,,,,
2019-0042-01-13,,,,2/26/2020 13:46,0.5,feet,,feet,"Measured height during Saguaro Inventory 2020, VN, 2/26/20."
2019-0042-01-13,,,,3/29/2019 19:14,0.5833333,feet,,feet,"Measured during Saguaro Inventory 2019, VN, 2/15/183"
2019-0042-01-13,1/18/2019 0:00,Alive,Excellent,,,,,,
2019-0042-01-13,2/11/2019 23:30,Alive,Excellent,,,,,,
2019-0042-01-13,2/12/2019 23:45,Alive,Excellent,,,,,,
2019-0042-01-12,,,,2/26/2020 13:46,0.4,feet,,feet,"Measured height during Saguaro Inventory 2020, VN, 2/26/20."
2019-0042-01-12,,,,3/29/2019 19:15,0.4166667,feet,,feet,"Measured during Saguaro Inventory 2019, VN, 2/15/197"
2019-0042-01-12,1/18/2019 0:00,Alive,Excellent,,,,,,
2019-0042-01-12,2/11/2019 23:30,Alive,Excellent,,,,,,
2019-0042-01-12,2/12/2019 23:45,Alive,Excellent,,,,,,
2019-0042-01-11,,,,2/26/2020 13:46,0.9,feet,,feet,"Measured height during Saguaro Inventory 2020, VN, 2/26/20."
2019-0042-01-11,,,,3/29/2019 19:14,0.7916667,feet,,feet,"Measured during Saguaro Inventory 2019, VN, 2/15/166"
2019-0042-01-11,,,,2/8/2019 0:00,8.5,inches,,inches,Caged by SS & RPM
2019-0042-01-11,1/18/2019 0:00,Alive,Excellent,,,,,,
2019-0042-01-11,2/8/2019 22:45,Alive,Excellent,,,,,,
2019-0042-01-10,,,,2/26/2020 13:46,0.5,feet,,feet,"Measured height during Saguaro Inventory 2020, VN, 2/26/20."
2019-0042-01-10,,,,3/29/2019 19:15,0.5,feet,,feet,"Measured during Saguaro Inventory 2019, VN, 2/15/190"
2019-0042-01-10,1/18/2019 0:00,Alive,Excellent,,,,,,
2019-0042-01-10,2/7/2019 22:31,Alive,Excellent,,,,,,
2019-0042-01-10,2/8/2019 22:45,Alive,Excellent,,,,,,
2019-0042-01-1,,,,2/26/2020 13:46,2.8,feet,,feet,"Measured height during Saguaro Inventory 2020, VN, 2/26/20."
2019-0042-01-1,,,,3/29/2019 19:11,2.625,feet,,feet,"Measured during Saguaro Inventory 2019, VN, 2/15/40"
2019-0042-01-1,1/18/2019 0:00,Alive,Excellent,,,,,,
2019-0042-01-1,2/7/2019 22:30,Alive,Excellent,,,,,,
2018-0582-01-6,,,,2/26/2020 13:46,5.6,feet,,feet,"Measured height during Saguaro Inventory 2020, VN, 2/26/20."
2018-0582-01-6,7/9/2018 0:00,Alive,Good,,,,,,
2018-0582-01-6,9/21/2018 11:31,Alive,Good,,,,,,
2018-0582-01-6,3/29/2019 19:36,Alive,Good,,,,,,
2018-0582-01-5,,,,2/26/2020 13:46,5.5,feet,,feet,"Measured height during Saguaro Inventory 2020, VN, 2/26/20."
2018-0582-01-5,7/9/2018 0:00,Alive,Good,,,,,,
2018-0582-01-5,9/21/2018 11:31,Alive,Good,,,,,,
2018-0582-01-5,3/29/2019 19:36,Alive,Good,,,,,,
2018-0582-01-4,,,,2/26/2020 13:46,5.7,feet,,feet,"Measured height during Saguaro Inventory 2020, VN, 2/26/20."
2018-0582-01-4,7/9/2018 0:00,Alive,Good,,,,,,
2018-0582-01-4,9/21/2018 11:31,Alive,Good,,,,,,
2018-0582-01-4,3/29/2019 19:36,Alive,Excellent,,,,,,
2018-0582-01-3,,,,2/26/2020 13:46,6.1,feet,,feet,"Measured height during Saguaro Inventory 2020, VN, 2/26/20."
2018-0582-01-3,7/9/2018 0:00,Alive,Good,,,,,,
2018-0582-01-3,9/21/2018 11:31,Alive,Good,,,,,,
2018-0582-01-3,3/29/2019 19:36,Alive,Excellent,,,,,,
2018-0582-01-2,,,,2/26/2020 13:46,6.1,feet,,feet,"Measured height during Saguaro Inventory 2020, VN, 2/26/20."
2018-0582-01-2,7/9/2018 0:00,Alive,Good,,,,,,
2018-0582-01-2,9/21/2018 11:31,Alive,Good,,,,,,
2018-0582-01-2,3/29/2019 19:36,Alive,Good,,,,,,
2018-0582-01-1,,,,2/26/2020 13:46,5.5,feet,,feet,"Measured height during Saguaro Inventory 2020, VN, 2/26/20."
2018-0582-01-1,7/9/2018 0:00,Alive,Good,,,,,,
2018-0582-01-1,9/21/2018 11:31,Alive,Good,,,,,,
2018-0582-01-1,3/29/2019 19:36,Alive,Good,,,,,,
2018-0406-01-9,,,,2/26/2020 13:46,6.5,feet,,feet,"Measured height during Saguaro Inventory 2020, VN, 2/26/20."
2018-0406-01-9,6/12/2018 0:00,Alive,Good,,,,,,
2018-0406-01-9,6/13/2018 23:47,Alive,Good,,,,,,
2018-0406-01-9,3/29/2019 19:36,Alive,Excellent,,,,,,
2018-0406-01-8,,,,2/26/2020 13:46,12.4,feet,,feet,"Measured height during Saguaro Inventory 2020, VN, 2/26/20."
2018-0406-01-8,6/12/2018 0:00,Alive,Good,,,,,,
2018-0406-01-8,6/13/2018 23:47,Alive,Good,,,,,,
2018-0406-01-8,3/29/2019 19:36,Alive,Poor,,,,,,
2018-0406-01-7,,,,2/26/2020 13:46,10.4,feet,,feet,"Measured height during Saguaro Inventory 2020, VN, 2/26/20."
2018-0406-01-7,6/12/2018 0:00,Alive,Good,,,,,,
2018-0406-01-7,6/13/2018 23:47,Alive,Good,,,,,,
2018-0406-01-7,3/29/2019 19:36,Alive,Excellent,,,,,,
2018-0406-01-6,,,,2/26/2020 13:46,7.3,feet,,feet,"Measured height during Saguaro Inventory 2020, VN, 2/26/20."
2018-0406-01-6,6/12/2018 0:00,Alive,Good,,,,,,
2018-0406-01-6,6/13/2018 23:47,Alive,Good,,,,,,
2018-0406-01-6,3/29/2019 19:36,Alive,Good,,,,,,
2018-0406-01-5,,,,2/26/2020 13:46,9.1,feet,,feet,"Measured height during Saguaro Inventory 2020, VN, 2/26/20."
2018-0406-01-5,6/12/2018 0:00,Alive,Good,,,,,,
2018-0406-01-5,6/13/2018 23:47,Alive,Good,,,,,,
2018-0406-01-5,3/29/2019 19:36,Alive,Good,,,,,,
2018-0406-01-4,,,,2/26/2020 13:46,2.3,feet,,feet,"Measured height during Saguaro Inventory 2020, VN, 2/26/20."
2018-0406-01-4,6/12/2018 0:00,Alive,Good,,,,,,
2018-0406-01-4,6/13/2018 23:47,Alive,Good,,,,,,
2018-0406-01-4,3/29/2019 19:36,Alive,Excellent,,,,,,
2018-0406-01-3,,,,2/26/2020 13:46,3.8,feet,,feet,"Measured height during Saguaro Inventory 2020, VN, 2/26/20."
2018-0406-01-3,6/12/2018 0:00,Alive,Good,,,,,,
2018-0406-01-3,6/13/2018 23:47,Alive,Good,,,,,,
2018-0406-01-3,3/29/2019 19:36,Alive,Excellent,,,,,,
2018-0406-01-2,,,,2/26/2020 13:46,10.1,feet,,feet,"Measured height during Saguaro Inventory 2020, VN, 2/26/20."
2018-0406-01-2,6/12/2018 0:00,Alive,Good,,,,,,
2018-0406-01-2,6/13/2018 23:47,Alive,Good,,,,,,
2018-0406-01-2,3/29/2019 19:36,Alive,Fair,,,,,,
2018-0406-01-11,,,,2/26/2020 13:46,15.1,feet,,feet,"Measured height during Saguaro Inventory 2020, VN, 2/26/20."
2018-0406-01-11,6/12/2018 0:00,Alive,Good,,,,,,
2018-0406-01-11,6/13/2018 23:46,Alive,Good,,,,,,
2018-0406-01-11,3/29/2019 19:36,Alive,Fair,,,,,,
2018-0406-01-10,,,,2/26/2020 13:46,14.1,feet,,feet,"Measured height during Saguaro Inventory 2020, VN, 2/26/20."
2018-0406-01-10,6/12/2018 0:00,Alive,Good,,,,,,
2018-0406-01-10,6/13/2018 23:47,Alive,Good,,,,,,
2018-0406-01-10,3/29/2019 19:36,Alive,Fair,,,,,,
2018-0406-01-1,,,,2/26/2020 13:46,9.9,feet,,feet,"Measured height during Saguaro Inventory 2020, VN, 2/26/20."
2018-0406-01-1,6/12/2018 0:00,Alive,Good,,,,,,
2018-0406-01-1,6/13/2018 23:47,Alive,Good,,,,,,
2018-0406-01-1,3/29/2019 19:36,Alive,Good,,,,,,
2018-0230-10-0,4/11/2018 0:00,Dormant,Excellent,,,,,,
2018-0230-10-0,9/16/2020 17:04,Dormant,Excellent,,,,,,
2018-0110-01-9,,,,2/26/2020 13:45,1.5,feet,,feet,"Measured height during Saguaro Inventory 2020, VN, 2/26/20."
2018-0110-01-9,,,,3/29/2019 19:13,1.375,feet,,feet,"Measured during Saguaro Inventory 2019, VN, 2/15/120"
2018-0110-01-9,,,,2/9/2018 0:00,15,inches,,inches,
2018-0110-01-9,2/6/2018 0:00,Alive,,,,,,,
2018-0110-01-9,2/8/2018 15:46,Alive,,,,,,,
2018-0110-01-9,2/9/2018 0:00,Alive,Excellent,,,,,,
2018-0110-01-9,2/9/2018 22:46,Alive,Excellent,,,,,,
2018-0110-01-8,,,,2/26/2020 13:45,0.79,feet,,feet,"Measured height during Saguaro Inventory 2020, VN, 2/26/20."
2018-0110-01-8,,,,3/29/2019 19:14,0.6666667,feet,,feet,"Measured during Saguaro Inventory 2019, VN, 2/15/175"
2018-0110-01-8,,,,2/9/2018 0:00,6,inches,,inches,
2018-0110-01-8,2/6/2018 0:00,Alive,,,,,,,
2018-0110-01-8,2/8/2018 15:46,Alive,,,,,,,
2018-0110-01-8,2/9/2018 0:00,Alive,Fair,,,,,,
2018-0110-01-8,2/9/2018 22:46,Alive,Fair,,,,,,
2018-0110-01-7,,,,2/26/2020 13:45,1.21,feet,,feet,"Measured height during Saguaro Inventory 2020, VN, 2/26/20."
2018-0110-01-7,,,,3/29/2019 19:13,1.1666667,feet,,feet,"Measured during Saguaro Inventory 2019, VN, 2/15/134"
2018-0110-01-7,,,,2/9/2018 0:00,1,feet,,feet,
2018-0110-01-7,2/6/2018 0:00,Alive,,,,,,,
2018-0110-01-7,2/8/2018 15:46,Alive,,,,,,,
2018-0110-01-7,2/9/2018 0:00,Alive,Excellent,,,,,,
2018-0110-01-7,2/9/2018 22:46,Alive,Excellent,,,,,,
2018-0110-01-6,,,,2/26/2020 13:45,0.8,feet,,feet,"Measured height during Saguaro Inventory 2020, VN, 2/26/20."
2018-0110-01-6,,,,3/29/2019 19:15,0.5,feet,,feet,"Measured during Saguaro Inventory 2019, VN, 2/15/188"
2018-0110-01-6,,,,2/9/2018 0:00,3.5,inches,,inches,
2018-0110-01-6,2/6/2018 0:00,Alive,,,,,,,
2018-0110-01-6,2/8/2018 15:46,Alive,,,,,,,
2018-0110-01-6,2/9/2018 0:00,Alive,,,,,,,
2018-0110-01-6,2/9/2018 0:00,Alive,Good,,,,,,
2018-0110-01-6,2/9/2018 22:46,Alive,Good,,,,,,
2018-0110-01-5,2/6/2018 0:00,Alive,,,,,,,
2018-0110-01-5,2/8/2018 15:46,Alive,,,,,,,
2018-0110-01-4,2/6/2018 0:00,Alive,,,,,,,
2018-0110-01-4,2/8/2018 15:46,Alive,,,,,,,
2018-0110-01-3,,,,2/26/2020 13:45,0.2,feet,,feet,"Measured height during Saguaro Inventory 2020, VN, 2/26/20."
2018-0110-01-3,,,,3/29/2019 19:15,0.1666667,feet,,feet,"Measured during Saguaro Inventory 2019, VN, 2/15/205"
2018-0110-01-3,,,,2/7/2018 0:00,1.5,inches,,inches,
2018-0110-01-3,2/6/2018 0:00,Alive,,,,,,,
2018-0110-01-3,2/7/2018 0:00,Alive,Excellent,,,,,,
2018-0110-01-3,2/7/2018 9:46,Alive,,,,,,,
2018-0110-01-20,2/6/2018 0:00,Alive,,,,,,,
2018-0110-01-2,,,,2/26/2020 13:45,0.5,feet,,feet,"Measured height during Saguaro Inventory 2020, VN, 2/26/20."
2018-0110-01-2,,,,3/29/2019 19:15,0.4583333,feet,,feet,"Measured during Saguaro Inventory 2019, VN, 2/15/194"
2018-0110-01-2,,,,2/9/2018 0:00,3.5,inches,,inches,
2018-0110-01-2,2/6/2018 0:00,Alive,,,,,,,
2018-0110-01-2,2/7/2018 9:46,Alive,,,,,,,
2018-0110-01-2,2/9/2018 0:00,Alive,Excellent,,,,,,
2018-0110-01-19,2/6/2018 0:00,Alive,,,,,,,
2018-0110-01-18,2/6/2018 0:00,Alive,,,,,,,
2018-0110-01-17,2/6/2018 0:00,Alive,,,,,,,
2018-0110-01-16,2/6/2018 0:00,Alive,,,,,,,
2018-0110-01-15,,,,2/26/2020 13:45,0.58,feet,,feet,"Measured height during Saguaro Inventory 2020, VN, 2/26/20."
2018-0110-01-15,,,,3/29/2019 19:15,0.5208333,feet,,feet,"Measured during Saguaro Inventory 2019, VN, 2/15/187"
2018-0110-01-15,,,,2/12/2018 0:00,6,inches,,inches,
2018-0110-01-15,2/6/2018 0:00,Alive,,,,,,,
2018-0110-01-15,2/12/2018 0:00,Alive,Fair,,,,,,
2018-0110-01-15,2/12/2018 16:31,Alive,,,,,,,
2018-0110-01-15,2/12/2018 22:31,Alive,Fair,,,,,,
2018-0110-01-15,2/14/2018 0:00,Alive,Fair,,,,,,
2018-0110-01-14,,,,2/26/2020 13:47,0.8,feet,,feet,"Measured height during Saguaro Inventory 2020, VN, 2/26/20."
2018-0110-01-14,,,,2/13/2018 0:00,9,inches,,inches,
2018-0110-01-14,2/6/2018 0:00,Alive,,,,,,,
2018-0110-01-14,2/10/2018 23:01,Alive,,,,,,,
2018-0110-01-14,2/13/2018 0:00,Alive,Excellent,,,,,,
2018-0110-01-14,2/13/2018 22:46,Alive,Excellent,,,,,,
2018-0110-01-14,2/21/2018 0:00,Alive,Excellent,,,,,,
2018-0110-01-14,2/28/2018 0:00,Alive,Excellent,,,,,,
2018-0110-01-14,2/27/2019 0:00,Alive,Excellent,,,,,,
2018-0110-01-14,2/27/2019 23:01,Alive,Excellent,,,,,,
2018-0110-01-13,,,,2/26/2020 13:46,0.4,feet,,feet,"Measured height during Saguaro Inventory 2020, VN, 2/26/20."
2018-0110-01-13,,,,2/13/2018 0:00,3.5,inches,,inches,
2018-0110-01-13,2/6/2018 0:00,Alive,,,,,,,
2018-0110-01-13,2/10/2018 23:01,Alive,,,,,,,
2018-0110-01-13,2/13/2018 0:00,Alive,Excellent,,,,,,
2018-0110-01-13,2/13/2018 22:46,Alive,Excellent,,,,,,
2018-0110-01-13,2/21/2018 0:00,Alive,Excellent,,,,,,
2018-0110-01-13,2/28/2018 0:00,Alive,Excellent,,,,,,
2018-0110-01-13,2/27/2019 0:00,Alive,Excellent,,,,,,
2018-0110-01-13,2/27/2019 23:01,Alive,Excellent,,,,,,
2018-0110-01-12,,,,2/26/2020 13:47,0.4,feet,,feet,"Measured height during Saguaro Inventory 2020, VN, 2/26/20."
2018-0110-01-12,,,,2/13/2018 0:00,6,inches,,inches,
2018-0110-01-12,2/6/2018 0:00,Alive,,,,,,,
2018-0110-01-12,2/10/2018 23:01,Alive,,,,,,,
2018-0110-01-12,2/13/2018 0:00,Alive,Excellent,,,,,,
2018-0110-01-12,2/13/2018 0:00,Alive,Excellent,,,,,,
2018-0110-01-12,2/13/2018 22:46,Alive,Excellent,,,,,,
2018-0110-01-12,2/21/2018 0:00,Alive,Excellent,,,,,,
2018-0110-01-12,2/28/2018 0:00,Alive,Fair,,,,,,
2018-0110-01-12,2/27/2019 0:00,Alive,Fair,,,,,,
2018-0110-01-12,2/27/2019 23:01,Alive,Fair,,,,,,
2018-0110-01-11,,,,2/26/2020 13:45,0.5,feet,,feet,"Measured height during Saguaro Inventory 2020, VN, 2/26/20."
2018-0110-01-11,,,,3/29/2019 19:15,0.5,feet,,feet,"Measured during Saguaro Inventory 2019, VN, 2/15/189"
2018-0110-01-11,,,,2/13/2018 0:00,5,inches,,inches,
2018-0110-01-11,2/6/2018 0:00,Alive,,,,,,,
2018-0110-01-11,2/10/2018 23:01,Alive,,,,,,,
2018-0110-01-11,2/13/2018 0:00,Alive,Fair,,,,,,
